A;RTSALEDATA;117;20240909 01:06;VALNET;
B;117;1245130;1;20240909 01:06;;;24;BURRAWANG WEST RD;OOTHA;2875;30.35;H;20240725;20240905;515000;RU1;3;FARM;;RSH;;0;AU394256;
C;117;1245130;1;20240909 01:06;56/752070;
D;117;1245130;1;20240909 01:06;P;;;;;;
D;117;1245130;1;20240909 01:06;V;;;;;;
B;117;1248980;2;20240909 01:06;;;37;QUEEN ST;FORBES;2871;898;M;20240711;20240902;420000;R1;R;RESIDENCE;;AAA;;0;AU381802;
C;117;1248980;2;20240909 01:06;1/80/758418;
D;117;1248980;2;20240909 01:06;P;;;;;;
D;117;1248980;2;20240909 01:06;P;;;;;;
D;117;1248980;2;20240909 01:06;V;;;;;;
B;117;3067516;3;20240909 01:06;;1;16;PARKES RD;FORBES;2871;1315;M;20240705;20240902;760000;E3;3;COMMERCIAL;;BBB;;0;AU380785;
C;117;3067516;3;20240909 01:06;2/285805;
D;117;3067516;3;20240909 01:06;P;;;;;;
D;117;3067516;3;20240909 01:06;V;;;;;;
B;117;4569439;4;20240909 01:06;;;194;DOWRA LANE;JEMALONG;2871;209.9;H;20240624;20240730;5614791;;3;FARM;;;;0;AU289605;
C;117;4569439;4;20240909 01:06;851/1105960;
D;117;4569439;4;20240909 01:06;P;;;;;;
D;117;4569439;4;20240909 01:06;V;;;;;;
D;117;4569439;4;20240909 01:06;V;;;;;;
D;117;4569439;4;20240909 01:06;V;;;;;;
B;117;4569440;5;20240909 01:06;;;194;DOWRA LANE;JEMALONG;2871;40.02;H;20240624;20240730;742208;;3;FARM;;;;0;AU289537;
C;117;4569440;5;20240909 01:06;852/1105960;
D;117;4569440;5;20240909 01:06;P;;;;;;
D;117;4569440;5;20240909 01:06;V;;;;;;
D;117;4569440;5;20240909 01:06;V;;;;;;
D;117;4569440;5;20240909 01:06;V;;;;;;
B;117;4569691;6;20240909 01:06;;;;PAYTENS LANE;PAYTENS BRIDGE;2871;;;20240515;20240820;457135;;3;FARM;;;;0;AU346623;
C;117;4569691;6;20240909 01:06;PT 3/1301919;
D;117;4569691;6;20240909 01:06;P;;;;;;
D;117;4569691;6;20240909 01:06;V;;;;;;
D;117;4569691;6;20240909 01:06;V;;;;;;
D;117;4569691;6;20240909 01:06;V;;;;;;
Z;33;6;6;19;
