SourceFile,Record
042_SALES_DATA_NNME_28102024.DAT,B;042;475221;1;20241028 01:05;;;46;KITE ST;COWRA;2794;1094;M;20241010;20241022;420000;R1;R;RESIDENCE;;ACR;;0;AU517984;
042_SALES_DATA_NNME_28102024.DAT,B;042;475739;2;20241028 01:05;;;3;MACASSAR ST;COWRA;2794;575.4;M;20240910;20241022;300000;R1;R;RESIDENCE;;ACC;;0;AU517876;
042_SALES_DATA_NNME_28102024.DAT,B;042;476107;3;20241028 01:05;;;7;PARKES ST;COWRA;2794;999;M;20240826;20241021;360000;R1;R;RESIDENCE;;ACC;;0;AU514998;
902_SALES_DATA_NNME_28102024.DAT,B;902;3477724;1;20241028 01:08;;;;WILCANNIA-WANAARING RD;WANAARING;2840;40.47;H;20240627;20240920;20000;;3;FARM;;;;0;AU434721;
223_SALES_DATA_NNME_28102024.DAT,B;223;2482904;1;20241028 01:06;;11;41;CASTLEREAGH ST;LIVERPOOL;2170;;;20240910;20241022;375000;;R;RESIDENCE;11;;;0;AU518475;
223_SALES_DATA_NNME_28102024.DAT,B;223;2483062;2;20241028 01:06;;16;107;CASTLEREAGH ST;LIVERPOOL;2170;;;20240906;20241018;380000;;R;RESIDENCE;16;;;0;AU508622;
223_SALES_DATA_NNME_28102024.DAT,B;223;2483081;3;20241028 01:06;;10;111;CASTLEREAGH ST;LIVERPOOL;2170;;;20240906;20241018;390000;;R;RESIDENCE;10;;;0;AU509089;
223_SALES_DATA_NNME_28102024.DAT,B;223;2483081;4;20241028 01:06;;20;111;CASTLEREAGH ST;LIVERPOOL;2170;;;20240912;20241024;432000;;R;RESIDENCE;20;;;0;AU525585;
223_SALES_DATA_NNME_28102024.DAT,B;223;2482152;5;20241028 01:06;;;14;CARBINE CL;CASULA;2170;790.6;M;20240720;20241023;1500000;R3;R;RESIDENCE;;LEE;;0;AU522326;
223_SALES_DATA_NNME_28102024.DAT,B;223;2485200;6;20241028 01:06;;;16;CONGRESSIONAL DR;LIVERPOOL;2170;556.4;M;20240907;20241021;1332000;R2;R;RESIDENCE;;LFF;;0;AU514345;
223_SALES_DATA_NNME_28102024.DAT,B;223;2522871;7;20241028 01:06;;;700;TWELFTH AVE;ROSSMORE;2557;2.023;H;20240829;20241024;5400000;RU4;R;RESIDENCE;;RRP;;0;AU523639;
223_SALES_DATA_NNME_28102024.DAT,B;223;2498933;8;20241028 01:06;;;2 A;INGHAM DR;CASULA;2170;346.5;M;20241021;20241022;795000;R4;R;RESIDENCE;;HAA;;0;AU516587;
223_SALES_DATA_NNME_28102024.DAT,B;223;2507057;9;20241028 01:06;;6;77;MEMORIAL AVE;LIVERPOOL;2170;;;20240910;20241022;410000;;R;RESIDENCE;6;;;0;AU517731;
223_SALES_DATA_NNME_28102024.DAT,B;223;2488563;10;20241028 01:06;;7;20;DRUMMOND ST;WARWICK FARM;2170;;;20240925;20241023;420000;;R;RESIDENCE;7;;;0;AU520967;
223_SALES_DATA_NNME_28102024.DAT,B;223;2496455;11;20241028 01:06;;4;144;HEATHCOTE RD;HAMMONDVILLE;2170;;;20240916;20241022;650000;;R;RESIDENCE;4;;;0;AU517153;
223_SALES_DATA_NNME_28102024.DAT,B;223;2517964;12;20241028 01:06;;;25;SIMONE CRES;CASULA;2170;947.6;M;20240722;20241021;1500000;R4;R;RESIDENCE;;HAA;;0;AU515434;
223_SALES_DATA_NNME_28102024.DAT,B;223;2523303;13;20241028 01:06;;;25;WAGGA WAGGA ST;PRESTONS;2170;500;M;20240824;20241021;1207000;R2;R;RESIDENCE;;MPP;;0;AU512075;
223_SALES_DATA_NNME_28102024.DAT,B;223;2515556;14;20241028 01:06;;3;63;ROSE ST;LIVERPOOL;2170;;;20240927;20241018;775000;;R;RESIDENCE;3;;;0;AU509180;
223_SALES_DATA_NNME_28102024.DAT,B;223;2523503;15;20241028 01:06;;;6;WANGANELLA ST;MILLER;2168;632.5;M;20240907;20241021;800000;R4;R;RESIDENCE;;HAA;;0;AU514145;
223_SALES_DATA_NNME_28102024.DAT,B;223;2510364;16;20241028 01:06;;2;84;NINETEENTH AVE;HOXTON PARK;2171;;;20240907;20241021;751000;;R;RESIDENCE;2;;;0;AU515207;
223_SALES_DATA_NNME_28102024.DAT,B;223;2515629;17;20241028 01:06;;;10;ROSELLA RD;PRESTONS;2170;700;M;20240823;20241018;1462000;R2;R;RESIDENCE;;MPP;;0;AU509884;
223_SALES_DATA_NNME_28102024.DAT,B;223;2518498;18;20241028 01:06;;;23;SOUTH LIVERPOOL RD;HECKENBERG;2168;600.7;M;20240822;20241018;300000;R2;R;RESIDENCE;;LHH;;0;AU511381;
223_SALES_DATA_NNME_28102024.DAT,B;223;2526495;19;20241028 01:06;;;17;WONGA RD;LURNEA;2170;929.5;M;20240907;20241021;1210000;R3;R;RESIDENCE;;LMN;;0;AU514644;
223_SALES_DATA_NNME_28102024.DAT,B;223;2497149;20;20241028 01:06;;;3;HILLCREST AVE;MOOREBANK;2170;663.9;M;20240802;20241018;1550000;R3;R;RESIDENCE;;LSS;;0;AU510234;
223_SALES_DATA_NNME_28102024.DAT,B;223;2491971;21;20241028 01:06;;8;3;FORBES ST;WARWICK FARM;2170;;;20240629;20240812;360000;;R;RESIDENCE;8;;;0;AU325415;
223_SALES_DATA_NNME_28102024.DAT,B;223;2492108;22;20241028 01:06;;;470;FOURTH AVE;AUSTRAL;2179;2.106;H;20240830;20241022;10121574;R3;R;RESIDENCE;;JAD;;0;AU519379;
223_SALES_DATA_NNME_28102024.DAT,B;223;2518996;23;20241028 01:06;;17;13;SPEED ST;LIVERPOOL;2170;82.61;M;20240828;20241009;342500;;R;RESIDENCE;17;;;0;AU482065;
223_SALES_DATA_NNME_28102024.DAT,B;223;2497631;24;20241028 01:06;;13 A;4;HOMEPRIDE AVE;WARWICK FARM;2170;;;20240708;20241016;700000;;3;WAREHOUSE;23;;;0;AU502060;
223_SALES_DATA_NNME_28102024.DAT,B;223;2511283;25;20241028 01:06;;;71;WILLAN DR;CARTWRIGHT;2168;556.4;M;20240907;20241021;1052000;R3;R;RESIDENCE;;LMM;;0;AU515947;
223_SALES_DATA_NNME_28102024.DAT,B;223;2841264;26;20241028 01:06;;;85 B;ATKINSON ST;LIVERPOOL;2170;320;M;20240907;20241021;959000;R3;R;RESIDENCE;;LMN;;0;AU512624;
223_SALES_DATA_NNME_28102024.DAT,B;223;2525534;27;20241028 01:06;;3;32;WILLIAM ST;LURNEA;2170;;;20240915;20241018;641000;;R;RESIDENCE;3;;;0;AU509736;
223_SALES_DATA_NNME_28102024.DAT,B;223;2515650;28;20241028 01:06;;1;37;ROSEWOOD AVE;PRESTONS;2170;;;20240914;20241018;815000;;R;RESIDENCE;1;;;0;AU507945;
223_SALES_DATA_NNME_28102024.DAT,B;223;3456298;29;20241028 01:06;;;23;STANLEY AVE;MIDDLETON GRANGE;2171;450;M;20240724;20241022;1410000;R1;R;RESIDENCE;;DAB;;0;AU519547;
223_SALES_DATA_NNME_28102024.DAT,B;223;3484472;30;20241028 01:06;;;35;FYSH AVE;MIDDLETON GRANGE;2171;454.4;M;20240907;20241021;1122000;R1;R;RESIDENCE;;DAB;;0;AU515921;
223_SALES_DATA_NNME_28102024.DAT,B;223;3503209;31;20241028 01:06;;;7;MCINTYRE CCT;MIDDLETON GRANGE;2171;331.3;M;20240831;20241021;1150000;R1;R;RESIDENCE;;DAB;;0;AU515296;
223_SALES_DATA_NNME_28102024.DAT,B;223;4203800;32;20241028 01:06;;;19;CRUSADER ST;AUSTRAL;2179;312;M;20240725;20241023;1112000;R2;R;RESIDENCE;;AUS;;0;AU520616;
223_SALES_DATA_NNME_28102024.DAT,B;223;4185356;33;20241028 01:06;;;289;FIFTH AVE;AUSTRAL;2179;225.2;M;20240923;20241021;933500;R2;R;RESIDENCE;;AUS;;0;AU513032;
223_SALES_DATA_NNME_28102024.DAT,B;223;4171003;34;20241028 01:06;;;7;CLEARFIELD AVE;AUSTRAL;2179;300.2;M;20240908;20241021;999000;R2;R;RESIDENCE;;AUS;;0;AU512988;
223_SALES_DATA_NNME_28102024.DAT,B;223;4203280;35;20241028 01:06;;303;80;LUCAS AVE;MOOREBANK;2170;;;20240912;20241024;700000;;R;RESIDENCE;15;;;0;AU525014;
223_SALES_DATA_NNME_28102024.DAT,B;223;4241240;36;20241028 01:06;;1202;30;SHEPHERD ST;LIVERPOOL;2170;;;20240912;20241024;446000;;R;RESIDENCE;73;;;0;AU524027;
223_SALES_DATA_NNME_28102024.DAT,B;223;4184653;37;20241028 01:06;;166;387;MACQUARIE ST;LIVERPOOL;2170;205;M;20240912;20241018;770000;;R;RESIDENCE;166;;;0;AU511503;
223_SALES_DATA_NNME_28102024.DAT,B;223;4184653;38;20241028 01:06;;167;387;MACQUARIE ST;LIVERPOOL;2170;118;M;20240912;20241018;770000;;R;RESIDENCE;167;;;0;AU511503;
223_SALES_DATA_NNME_28102024.DAT,B;223;4212221;39;20241028 01:06;;;6 A;TORRENS CT;WATTLE GROVE;2173;413.3;M;20240902;20241021;1270000;R2;R;RESIDENCE;;MEE;;0;AU515152;
223_SALES_DATA_NNME_28102024.DAT,B;223;2522024;40;20241028 01:06;;;67;RENTON AVE;MOOREBANK;2170;663.9;M;20240618;20240731;1375000;R2;R;RESIDENCE;;MEE;;0;AU294822;
223_SALES_DATA_NNME_28102024.DAT,B;223;2503952;41;20241028 01:06;;18;7;LYN PDE;PRESTONS;2170;;;20240913;20241018;880000;;R;RESIDENCE;18;;;0;AU510957;
223_SALES_DATA_NNME_28102024.DAT,B;223;2520091;42;20241028 01:06;;;43;STRZLECKI DR;HORNINGSEA PARK;2171;559.8;M;20240730;20241022;1220000;R2;R;RESIDENCE;;MPP;;0;AU518201;
223_SALES_DATA_NNME_28102024.DAT,B;223;2522726;43;20241028 01:06;;;8;TUSCAN PL;CASULA;2170;556.4;M;20240907;20241024;971000;R2;R;RESIDENCE;;LFF;;0;AU526388;
223_SALES_DATA_NNME_28102024.DAT,B;223;2495940;44;20241028 01:06;;;46;HARRADEN DR;WEST HOXTON;2171;580.5;M;20240824;20241021;1480000;R2;R;RESIDENCE;;MOO;;0;AU514128;
223_SALES_DATA_NNME_28102024.DAT,B;223;2950735;45;20241028 01:06;;2;50;SPEED ST;LIVERPOOL;2170;;;20240906;20241018;370000;;R;RESIDENCE;2;;;0;AU508666;
223_SALES_DATA_NNME_28102024.DAT,B;223;3542626;46;20241028 01:06;;;7;ROBEY AVE;MIDDLETON GRANGE;2171;441.6;M;20240914;20241023;1125000;R1;R;RESIDENCE;;DAB;;0;AU522753;
